Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8324022346368715,0.8,0.7536231884057971,0.7761194029850746,0.872463768115942
Decision Tree,0.776536312849162,0.7301587301587301,0.6666666666666666,0.696969696969697,0.7468379446640315
KNN,0.7877094972067039,0.7540983606557377,0.6666666666666666,0.7076923076923077,0.8233860342555995
